smiles	pred_logP	target_logP
CC1C(O)C1(CCC1CC1)NC=NC1CC(C2CC2[SH]=O)C1C=N	2.5287137031555176	[2.25,2.75]
C=CN(N)C(CCC(C)(C)C=S)C(C)CCCC	2.457897424697876	[2.25,2.75]
CC1(CCCC2(CC(=S)S)CC2)CC1	2.4878642559051514	[2.25,2.75]
CC1(CCC(C2C(N)C2I)C2(NF)CC2)CC1	2.5205001831054688	[2.25,2.75]
CC1CCC(CC(NCC2(C)CC2)C2CC2)C1I	2.4814977645874023	[2.25,2.75]
CCCC1(C=CN=N)CCC1C1(CN)CCC1	2.470635175704956	[2.25,2.75]
CC1(CN=NCC(C2CCCC2N)C2(CC3CCC3)CC2N)CC1	2.629303216934204	[2.25,2.75]
C=CC1CCC(C2CCCC2)C1C=S	2.5551486015319824	[2.25,2.75]
CCCCC=CCC(CCCCC)CC(C)C	2.5529041290283203	[2.25,2.75]
CCN=NSCC1(C=S)CC1C	2.674299716949463	[2.25,2.75]
CCC=CNCC(C=CC(=O)CCCC)CC	2.4734585285186768	[2.25,2.75]
CC1CC1(CCCC1CC1)NC1(CC(CN)C2CC2)CC1C	2.5951180458068848	[2.25,2.75]
NCC(CC(C1CC1)C1CCCC1C(=O)C=O)C1CC1	2.3462066650390625	[2.25,2.75]
CCC(S)CC1CCC(S)C1CCC1(CC(C)C)CC1	2.6089277267456055	[2.25,2.75]
CCC1CCC1C=NCC1(CCCBr)CC1	2.5204391479492188	[2.25,2.75]
CCCC1CCCC1CC1(C=O)CCC1	2.5351157188415527	[2.25,2.75]
C=CC(CCC(Cl)C(C)C)CC(N)CF	2.4658451080322266	[2.25,2.75]
CCC1CCC2(OC3CCC3)C(C)C2C2(CN)C(CC3CC3)C12CN	2.428966760635376	[2.25,2.75]
SCC1(C2CCCC2CC2(Br)CCC2)CCC1	2.620337724685669	[2.25,2.75]
CCCCC1(CC=O)CCC1C1CCCC1	2.4933383464813232	[2.25,2.75]
C=CCCC(C)C1CC1N(CCC1CC1)C1SCC(CC)CCC12CCC2	2.435842990875244	[2.25,2.75]
CCCC1CCCC1C1(C)CCC2(C=N)CC2OC1	2.4687557220458984	[2.25,2.75]
C=CC1CCCC1N(C=O)OC=O	2.4280381202697754	[2.25,2.75]
C1CC(CC2CC2C(CCCC2CC2)C2CC2)C1	2.3925886154174805	[2.25,2.75]
C=CC(=O)C1CCCC1CC1CC1C	2.4085943698883057	[2.25,2.75]
CCCCC(CCCC1CC1)CC(C)(C)CC1(CCl)CCC1	2.41483211517334	[2.25,2.75]
CCC1(CCC2(C)CC2)CC1	2.437386989593506	[2.25,2.75]
C=CC1CC(N)C(C2CCCC2)C1NCCC	2.5257463455200195	[2.25,2.75]
CC(C)C(C)CCC1(CC2CCCC2)CC1	2.4317216873168945	[2.25,2.75]
C=CNCC(CCC1(CCC2CC2C)CC1)C1CC1	2.5306668281555176	[2.25,2.75]
CC1(CCC2CCC2)CCC1CC1(N)CCC1	2.4899158477783203	[2.25,2.75]
CCCC1CCCC1C1CCCC1CCC(C)CCC[SH]=O	2.529442548751831	[2.25,2.75]
C=CC(CC(CC)C1CC1)C1CC1	2.528761148452759	[2.25,2.75]
C(=NC1CCCC1)C(CCC(C1CCCC1)C1CC1)C1CC1	2.57840895652771	[2.25,2.75]
CC1CC1(CN=CCC(F)CC=O)CC1(N=N)CCC1	2.505222797393799	[2.25,2.75]
CC1(CC2CCC2(CN)CC2CCC2)CC1	2.3937721252441406	[2.25,2.75]
CC1CC1CC1CCCC1CC(CC1CCC1)C1CC1	2.522313356399536	[2.25,2.75]
C=CCC(C)CC1(OCC(C(C)C=O)C(C)(C)CC=C)CCC1S	2.574582576751709	[2.25,2.75]
CCCCCCC1(CC2CC2C)CC1	2.5311598777770996	[2.25,2.75]
C=CCC1(C2CCC2C2CCC2)CC(N)C1S	2.5539371967315674	[2.25,2.75]
CCCC(C)CCC(CC)C1CCCC1C1CCCC1	2.5661895275115967	[2.25,2.75]
CCCC1CCC(CC(CC)C2CC2)C1CCC1CC1	2.5810647010803223	[2.25,2.75]
CCCCC1C(C2CCC2)CC1(CN)C1CCCC1	2.562422037124634	[2.25,2.75]
CC(CC1(CC(C)(N)CN)CC1)C(CI)CC(C)(O)CN=N	2.44350528717041	[2.25,2.75]
CC1C(C(CC=O)CC2(CN)CCC2)C1(Cl)CC=CN	2.52406644821167	[2.25,2.75]
CCCCC1(C(=S)N=CN)C(C)C1CCC	2.435331106185913	[2.25,2.75]
C#CC1CCC(CCC2CC2)C1Br	2.4341588020324707	[2.25,2.75]
C=CC1CC(CC2CCC2)C(Cl)C1SC1CC1	2.489777088165283	[2.25,2.75]
NCC(Cl)(CF)CCCC#CC1CCCC1	2.5063514709472656	[2.25,2.75]
CC(C)(CON)CC1(C)CC1	2.3876852989196777	[2.25,2.75]
C=CCCC(C)(CCC(C)C)C(CC)CCC1CCC1	2.6256794929504395	[2.25,2.75]
CC1CC(C2CCCC2NC2CCC2C=O)C1C=CN	2.5511181354522705	[2.25,2.75]
CC1CC1(Cl)C(N)CCC(C=N)C1CC1	2.519348621368408	[2.25,2.75]
C=CC1CCC(CCC)C1CCC	2.408602714538574	[2.25,2.75]
CCC(CCC1CC1)C(CC)CSC1(CC)CCC1	2.440962076187134	[2.25,2.75]
C=CC1CC(C)C1CCCC	2.5198488235473633	[2.25,2.75]
CCC(CC1(CC=O)CC1C)OC(C)C(C=O)CCC1(C)CC1	2.571815013885498	[2.25,2.75]
CC=CC1CCC(NCCCC)C1N	2.437748670578003	[2.25,2.75]
CCCCCC1C2C=NC=CCC1CC2	2.510373592376709	[2.25,2.75]
CCCCC1CCCC1C1(CCCC2CCC2N)CCC1	2.4780220985412598	[2.25,2.75]
O=CCC1(CCC2CC2)CCC1C1CC1	2.502703905105591	[2.25,2.75]
CCC(C=CC(=O)NC1CCC(C=N)C1CC1(C)CC1)CN	2.536919593811035	[2.25,2.75]
CC(N=N)C(CCC1(CC=N)CC1)CC1CCC1	2.511777639389038	[2.25,2.75]
CCC(COC(CCl)C1(O)CC1)C1C(C)C1(C=O)CCC1CC1C	2.4870338439941406	[2.25,2.75]
CC1(CC2CCCC2CC(CCC2CC2)C2CC2)CC1	2.6134133338928223	[2.25,2.75]
CC1CC1CC(CCCC=CS)C1(N)CC1	2.4628493785858154	[2.25,2.75]
CC(C)(CN=N)CC(S)(CC=CS)CC(=O)C(=O)C1CCCC1O	2.5049095153808594	[2.25,2.75]
C=CCC(C(CC)CCC(CCC1CC1)C1CC1)C1CC1	2.5271739959716797	[2.25,2.75]
CC1(CC2CCC(CCC3CC3)C2CCC2CC2)CC1	2.6206061840057373	[2.25,2.75]
CCC(CC1CC1)CC(CC)CC1(C)CC1	2.4883077144622803	[2.25,2.75]
C=CC1(CN(C=N)C=CC(=O)NC(CCCC)C2CC2)CC1CCOC=CF	2.6958327293395996	[2.25,2.75]
C=CC1CC(C2C(N)CC2(F)CN=CF)C(N)C1N	2.424647331237793	[2.25,2.75]
CC(C(C=NC=N)CBr)C1(CC=N)CCC1	2.3307557106018066	[2.25,2.75]
CCCNCC(CC1CC1C)C(C)CC	2.3929271697998047	[2.25,2.75]
CCCCC1(C(CC=O)CC2CCC2)CC1	2.5527281761169434	[2.25,2.75]
CC(S)C(CN)C(CN)(CCC1(CC2CCC2ON)CC1)CC1CC1Br	2.496626138687134	[2.25,2.75]
CC(N)(CS)CC1(CCC2(C)CC2)CCC1	2.51050066947937	[2.25,2.75]
CC=CCC(C=NCC1CC1)(CCC)CC1CCCC1	2.538994789123535	[2.25,2.75]
CCC(CNN)C1CCC1CC1(C)CC1	2.6530957221984863	[2.25,2.75]
C=CNC1CCC1(CCC1CC1)C1CC1(S)CN	2.479264259338379	[2.25,2.75]
CCCCCC(C)C1CCC1C(C)CCC(C)C	2.553288459777832	[2.25,2.75]
CC(CC1(CCCC2CC2)CCC1)C1CCC([SH]=O)C1N=N	2.435450553894043	[2.25,2.75]
CC(Br)CC1CCCC1C1CCC1C=N	2.4932901859283447	[2.25,2.75]
NN=CCC1(CCC2CC2)CCC1CCC1CC1	2.452108860015869	[2.25,2.75]
CC(C)CCC(CC(C)CC(C)CC1CC1)C1(S)CC1	2.5106558799743652	[2.25,2.75]
C1=CC2C(CCC3CC3)=CCN=C12	2.4841597080230713	[2.25,2.75]
C=CC1(CC(C)CC=O)CC1	2.706822156906128	[2.25,2.75]
CCC1CCC1C(C)(CC=N)CCCC1CC1	2.4978456497192383	[2.25,2.75]
CC(C)CCC(I)(CN)CC1(C(CCC2CC2)C[SH]=O)CC1N	2.387096881866455	[2.25,2.75]
C=CC1CCC1N(C)C1CCC1N(C)CCCC	2.543550491333008	[2.25,2.75]
CC(CC=O)N=CC=CC1C(CC2CC2)CC1N=N	2.451915740966797	[2.25,2.75]
CCCCC1(CN=N)CC1CCC1CC1	2.5373754501342773	[2.25,2.75]
C=CC(CCCC1CC1N)C1(C)CC1	2.50038480758667	[2.25,2.75]
N=NC=NC1CCCC1C1(C[SH]=O)CCC1	2.4821839332580566	[2.25,2.75]
CCC(CC1(CC2CCC2)CCC1)C(=O)C=O	2.532216787338257	[2.25,2.75]
CC1CC1CC1CCCC1C=O	2.4271373748779297	[2.25,2.75]
CCCCCC1C(S)CCC1CC1(CNCl)CC1	2.5214791297912598	[2.25,2.75]
CC1C=NC2C(Br)C(C1)CC2C1CCCC1	2.5019466876983643	[2.25,2.75]
CC1C(N)C(C2(CC=N)CCC2)C1CC1CC1	2.6788084506988525	[2.25,2.75]
CCCCC=NC(C)C(CCC1CC1)CCC(CC(C)C)C1CC1	2.558497190475464	[2.25,2.75]
N#CC1CCCC1N=NF	2.4732465744018555	[2.25,2.75]
CC1CC1CC(=O)C1(CN)C(C)C1C1CCCC1N	2.4866936206817627	[2.25,2.75]
C=CSC1CCC(C2CCC2C=N)C1Br	2.4110991954803467	[2.25,2.75]
N=CC1CCCC1C(=NC=O)C1CCCC1	2.4986774921417236	[2.25,2.75]
CCCCCC1(CCC2(C)CC2)CC1	2.5144691467285156	[2.25,2.75]
C=CC(CCCC1CC1)C(I)CC(CC=O)C(C)C1CCCC1	2.511516571044922	[2.25,2.75]
CC(C)CC1CCCC1CC(C=O)C1CC1	2.515018939971924	[2.25,2.75]
CCCCC1CCC1CC(CC1CC1C)C1CC1	2.584172248840332	[2.25,2.75]
CC1CC1(CC=NNC=N)CC1CC1	2.478672981262207	[2.25,2.75]
CCCC1(C(CC=NCCC=O)CC(C)C=N)CC1	2.452523946762085	[2.25,2.75]
CCCC1CCC1NC1(CCC)CC1C	2.470440149307251	[2.25,2.75]
CCC(CC=NSC(=S)C=CNC(CCC=O)C1CC1)CC1CC1C	2.523312568664551	[2.25,2.75]
NC1CCC1CC1(CC(CC2CC2)C2CC2)CCC1Cl	2.456362724304199	[2.25,2.75]
CC1CC1CC(CC=NCC1CCC1)CC1(C)CCC1	2.4338889122009277	[2.25,2.75]
CCCC=CC(=NC)C1(CC=N)CC1	2.4184257984161377	[2.25,2.75]
C=CC(=O)SC(CC)CC1CCC1(N)CSC#N	2.601062774658203	[2.25,2.75]
C=CC(CC)CC1(CC=N)CC1	2.526123523712158	[2.25,2.75]
CCC(CCC1CC1)C1CCCC1CC1CC1C	2.5271730422973633	[2.25,2.75]
C=CC(CC)CC1(CC=N)CC1NS	2.4780426025390625	[2.25,2.75]
C=CCC(CC(CC)C(C)C1CCCC1)C1CC1	2.4949076175689697	[2.25,2.75]
CC1(Cn2cc3c(nc(=O)n4c5ncc4n2N5)C3N(N)C=N)CC1	2.498823642730713	[2.25,2.75]
O=CC1CC2C3CCC(CC4CCC4)C3C=CNC12	2.528087854385376	[2.25,2.75]
CCCCCC(CC)C1(CC(C)CS)CCC1	2.4759573936462402	[2.25,2.75]
CC(CS)CC(C)(CCCN)NCC1(C=O)CC1C	2.4360082149505615	[2.25,2.75]
C=CCC(C)(C)CC(C)(C)CCCC	2.4503116607666016	[2.25,2.75]
CC(CC=CC=S)C1(S)CC1	2.445115089416504	[2.25,2.75]
CC1(CC2CCCC2F)CC1	2.4411001205444336	[2.25,2.75]
C=CCC1(C2CCC2C)CCC1	2.672649383544922	[2.25,2.75]
CCCCC(C)(CSCCC)C1CCC1(N)CC=O	2.513460636138916	[2.25,2.75]
CCCCC(C)(C)CC(C(C)CC(S)C1CC1)C1CC1	2.6289925575256348	[2.25,2.75]
C1CC1C1CCC(C2CC2)C(C2CC2)C1	2.4882524013519287	[2.25,2.75]
C=CC(CC1CC1)C(=CN)CC=CN=CC=NN	2.5117416381835938	[2.25,2.75]
CC(C)(CN)C1CCCC1C1(CC=N)CCC1	2.4336998462677	[2.25,2.75]
CCC1(C2CC2NCC(C)C)CCC1	2.5274460315704346	[2.25,2.75]
CCCC1C(Br)CCC1C(CN)C1(CCC)CC1	2.5371360778808594	[2.25,2.75]
CC(N)C(CCC(C)(C)CCC1CC1)CC1(C)CC1	2.443735361099243	[2.25,2.75]
C=CCC(C)(CC1CCCC1)CC1(C)CC1	2.5927867889404297	[2.25,2.75]
CCCCC1CC(CC(CC)CCC2CCC2)C1C(C)CN	2.4710707664489746	[2.25,2.75]
CC1C(CC2CC2)C1(N)CNCC(C)(CN)C1CCC1(N)CF	2.5024971961975098	[2.25,2.75]
O=CC12CC=NCC3(CCC3)C1C2	2.6771225929260254	[2.25,2.75]
CC(CC1(CCC2CCC2)CC1)N=CC1(CS)CCC1	2.5231900215148926	[2.25,2.75]
SSNN(CCC=CC=CI)CCCC1CC1	2.3831686973571777	[2.25,2.75]
C=CCC(C)(CC1CCC1)CC(CCC)C1CC1	2.4766340255737305	[2.25,2.75]
C=CC1(CCC(C)C)CCC1	2.418639659881592	[2.25,2.75]
CC(S)CSCC1(CC(CC2CC2)C2CC2)CCC1	2.4472908973693848	[2.25,2.75]
CC1CC1CC=CC=NC(=O)CC(C=N)C1CC1	2.5669143199920654	[2.25,2.75]
CCCC1(CC2(O)CCC2C=N)CCC1	2.494563102722168	[2.25,2.75]
C=CC1(CC(CC)CC=N)CCC1	2.530120372772217	[2.25,2.75]
CC(C)CCC1(CC2(C=O)C(C)C2N)CC1	2.483177423477173	[2.25,2.75]
C=CC=CC1(CN)C(C)C1S	2.461833953857422	[2.25,2.75]
CCC(CC(CCC1(C)CC1)C1CC1)C1CCCC1	2.541376829147339	[2.25,2.75]
C=NC(CC)CC(C)CC1CCC1C1CCCC1N	2.4468114376068115	[2.25,2.75]
CC(C=CCC(C)C1(CN)CCC1)CC=O	2.5935511589050293	[2.25,2.75]
CCCC(C)(C)CC(CCC(CC)C1CCC1)C1CC1	2.654378890991211	[2.25,2.75]
C=CC(=O)N=CC(=O)CC(C=C(C=NCC)CC(C)(N)C[SH]=O)C1CC1	2.5230796337127686	[2.25,2.75]
C=CC1CCCC1C(CC)CC	2.5508670806884766	[2.25,2.75]
C=CC1(CC(C)C(N)CC=O)CC1C	2.5104293823242188	[2.25,2.75]
C=CC(CN(C)C=O)C1(C)CC1	2.514265298843384	[2.25,2.75]
CCC1(CC2CCC2)CC1C	2.5020713806152344	[2.25,2.75]
CC(C)CC1(CCCC2CC2)CC1C	2.360161781311035	[2.25,2.75]
C=CC(CC)CCC1(CCC)CC1	2.555144786834717	[2.25,2.75]
CCC(CCC(CC)C1CC1)CC(NS)C(C)F	2.5050899982452393	[2.25,2.75]
C=CCC(N)C1(C=NCC2(C)CC2)CC1	2.474024534225464	[2.25,2.75]
C=CCC(C(=O)C(C=O)C=O)C1CC1	2.5160255432128906	[2.25,2.75]
CCC1CC=NCC(C(N)=O)C12CC2	2.5226995944976807	[2.25,2.75]
C=CCC1(CC2CC2C)CCC1S	2.439523220062256	[2.25,2.75]
CCC(C)CCC(CC1(C)CC1)C1CC1	2.5161995887756348	[2.25,2.75]
CCC(CCC1CC1)CC1CCC1CC1(C)CC1	2.5897767543792725	[2.25,2.75]
CC1CC1(CCC1CCC1)NCC1(C)CC1	2.4881865978240967	[2.25,2.75]
CCCC=NNC=CC1CCCC1CC	2.46614933013916	[2.25,2.75]
C=CC=CC1CCCC1C	2.5303521156311035	[2.25,2.75]
CC=CCC1(CCCC)CCC1	2.5088675022125244	[2.25,2.75]
CCC=NC(C=CN)=NC(C)(C)CC=CN	2.4699513912200928	[2.25,2.75]
CCCC1(CCC(CCC(C)C)C2CC2)CC1	2.420544147491455	[2.25,2.75]
CC(CCC(I)C1(Br)CC1)CC(N)C(C)C(CS)C1CC1	2.5141260623931885	[2.25,2.75]
CCCC(C)(CC=CC=N)SC1CC1	2.635657787322998	[2.25,2.75]
CCCC1CCC(N)C1C1CCCC1C1CCC1	2.6042354106903076	[2.25,2.75]
CC1CC1COCC(C=O)CC1CCC1(Cl)CF	2.4666929244995117	[2.25,2.75]
CC(C=O)(CCC1(C=O)CC1)CNCCC1(C)CC1	2.5517654418945312	[2.25,2.75]
CCCCC1(CC2(CN)CCC2CC(C)C)CCC1	2.513474464416504	[2.25,2.75]
CC(C=O)CC1CCCC1CC1(C)CC1	2.5749826431274414	[2.25,2.75]
CC1CC1(C)CC1(CS)CCC1	2.4746241569519043	[2.25,2.75]
NC1CCCC1CC1(CC2CCC2)CC(C=O)C1S	2.464262008666992	[2.25,2.75]
NCC1(C2(CC3CCC3)CC2)CC1Br	2.550464153289795	[2.25,2.75]
CC1CC1(CCC1CCC1)CC1CC1	2.4450082778930664	[2.25,2.75]
CC1(CC2CCC2NC(=O)C(CF)C2CC2)CC1	2.4601917266845703	[2.25,2.75]
CCCCC1(CC(C)(C)ONN=NCC2(C=N)CCC2)CC1N	2.551018238067627	[2.25,2.75]
CC(CCC1(N)C(C)C1N)C1CCC1CC1CCC1	2.5255322456359863	[2.25,2.75]
C=CCC1(CC2(CCCC3CC3)CCC2)CC1	2.4606704711914062	[2.25,2.75]
C=CC1CCCC1CC1(C)CC1	2.5623998641967773	[2.25,2.75]
CCC(C)CCC1CCC(CC(C)C)C1CCC1CC1	2.514810800552368	[2.25,2.75]
C=CN(C#CCC)CC1CC1C	2.59273624420166	[2.25,2.75]
CCCC(CC)CCC(C)C(CS)C(C)C1CCC1	2.500420093536377	[2.25,2.75]
CC1(CCC(C=CS)C2CC2)CC1	2.6155190467834473	[2.25,2.75]
CC(C)CC1CCC(N)C1C1CCC1CCC1CC1	2.5054538249969482	[2.25,2.75]
C=CCC1(S)CC(C(C)(CO)CO)C1C=NC(C)CN	2.431232452392578	[2.25,2.75]
CCC(CC1CC1)C(C)(CCCC1CC1)CC1CCC1	2.378983736038208	[2.25,2.75]
CC(CC=O)(CCC(F)C1CC1)C1CCC(N)C1C=O	2.514561414718628	[2.25,2.75]
CC(C)CC1(CC(=O)CC2CC2)CC1C	2.4437639713287354	[2.25,2.75]
C1CC(CCC2CC2)(CCC2(CCCC3CC3)CC2)C1	2.5113227367401123	[2.25,2.75]
